,CustomerID,Name,Age,Gender,Email,PurchaseAmount,PurchaseDate,ProductCategory,Rating
0,CUST1000,Ali Hassan,72.0,male,ali.hassan@gmail.com,837.31,2023-10-12,Books,3.0
1,CUST1001,Fatma Ali,20.0,female,fatma.ali@hotmail.com,900.25,2023-02-23,Other,3.0
2,CUST1002,Ahmed Mahmoud,15.0,male,ahmed.mahmoud@hotmail.com,761.72,2023-07-07,Toys,2.0
3,CUST1003,Ahmed Gaber,15.0,female,ahmed.gaber@gmail.com,303.72,2023-12-30,Other,2.0
4,CUST1004,Ali Ibrahim,73.0,male,ali.ibrahim@yahoo.com,635.81,2023-12-07,Clothing,2.0
5,CUST1005,Alaa Ibrahim,20.0,female,alaa.ibrahim@hotmail.com,886.26,2025-01-16,Other,2.0
6,CUST1006,Mark Ali,15.0,male,mark.ali@hotmail.com,92.53,2024-06-12,Books,2.0
7,CUST1007,Alaa Hassan,20.0,female,alaa.hassan@hotmail.com,318.43,2024-05-17,Toys,5.0
8,CUST1008,John Hassan,89.0,male,john.hassan@yahoo.com,883.52,2020-12-30,Home,4.0
9,CUST1009,Fatma Gaber,20.0,female,fatma.gaber@hotmail.com,966.47,2025-01-24,Electronics,2.0
10,CUST1010,Ahmed Smith,15.0,male,ahmed.smith@gmail.com,882.19,2025-06-24,Other,3.0
11,CUST1011,Sara Smith,15.0,male,sara.smith@yahoo.com,405.79,2024-08-05,Other,5.0
12,CUST1012,Lina Ibrahim,20.0,male,lina.ibrahim@hotmail.com,142.6,2023-05-23,Home,2.0
13,CUST1013,Lina Gaber,20.0,male,lina.gaber@gmail.com,509.8973789316026,2024-02-04,Electronics,2.0
14,CUST1014,Alaa Ali,20.0,male,alaa.ali@gmail.com,891.8,2023-05-21,Clothing,3.0
15,CUST1015,Ali Ibrahim,18.0,female,ali.ibrahim@hotmail.com,337.49,2024-06-25,Home,1.0
